2 123456789010 eni-abc123de 172.31.9.69 172.31.9.12 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-1235b8ca 172.31.16.139 203.0.113.12 0 0 1 4 336 1432917094 1432917142 REJECT OK
2 123456789010 eni-abc123de 172.31.9.49 172.31.9.22 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-abc123de 172.31.9.69 172.31.9.13 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-abc123de 172.31.9.68 172.31.9.13 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-f41c42bf 2001:db8:1234:a100:8d6e:3477:df66:f105 2001:db8:1234:a102:3304:8879:34cf:4071 34892 22 6 54 8855 1477913708 1477913820 REJECT OK
2 123456789010 eni-1235b8ca 172.31.16.139 203.0.113.12 0 0 1 4 336 1432917094 1432917142 REJECT OK
2 123456789010 eni-abc123de 172.31.9.66 172.31.9.17 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-abc123de 192.31.9.69 172.31.9.17 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-1235b8ca 172.31.16.139 203.0.113.12 0 0 1 4 336 1432917094 1432917142 REJECT OK
2 123456789010 eni-abc123de 173.31.9.69 172.31.9.16 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-abc123de 173.31.9.69 172.31.9.12 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-1235b8ca 172.31.16.139 203.0.113.12 0 0 1 4 336 1432917094 1432917142 REJECT OK
2 123456789010 eni-abc123de 171.31.9.69 172.31.9.12 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-abc123de 171.31.16.139 172.31.16.21 20641 22 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-1235b8ca 172.31.16.139 203.0.113.12 0 0 1 4 336 1432917094 1432917142 REJECT OK
2 123456789010 eni-f41c42bf 2001:db8:1234:a100:8d6e:3477:df66:f105 2001:db8:1234:a102:3304:8879:34cf:4071 34892 22 6 54 8855 1477913708 1477913820 REJECT OK
2 123456789010 eni-abc123de 171.31.9.69 172.31.9.12 49761 3389 6 20 4249 1418530010 1418530070 REJECT OK
2 123456789010 eni-1235b8ca 172.31.16.139 203.0.113.12 0 0 1 4 336 1432917094 1432917142 REJECT OK
